"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","docw","doch","responses","q1film","q2music","q3food","view_history","key_press","partner","test_part","trial_no","correct_response","intime","condition","amounta","amountb","colora","colorb","computeramount","cooperate","yourpayout","yourcolor","computerpayout","computercolor","xposfinal","yposfinal","xposstore","yposstore","timestamp","noofpartners","chose1","chose2","chose3","chose4","chose5","chose1_ind","chose2_ind","chose3_ind","chose4_ind","chose5_ind","group_chosen","group_notchosen","partner_accept","partner_reject","partner_accept_task1","a_top_no","a_bottom_no","b_top_no","b_bottom_no","outside_no","ownamount","defected","timedout"
"null","<div><img src='svgavatars/ready-avatars/partner2.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","37","80111","0.0-5.0-0.0-0.0","9ymqjo","1536","734","","","","","","null","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402","","1","html-button-response","38","81265","0.0-5.0-0.0-1.0","9ymqjo","1536","734","","","","","","","","1_start_click","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","39","81348","0.0-5.0-0.0-3.0","9ymqjo","1536","734","","","","","","","","2_start_leave","9","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"504","","0","html-button-response","40","81853","0.0-5.0-0.0-5.0","9ymqjo","1536","734","","","","","","","","3_choice","9","","","-2","350","450","#ffaa00","#0064ff","450","false","350","#ffaa00","0","#0064ff","247","170","734,684,684,540,440,440,366,366,316,284,284,271,271,262,259,259,255,255,251,247,247,239,239,227,221,221,219,219,221,226,226,231,231,235,239,239,243,243,246,247,247,247,247,247,247,247,247,247,247,247","628,566,566,444,380,380,349,349,328,311,311,300,300,293,290,290,283,283,279,276,276,270,270,263,257,257,254,254,243,231,231,218,218,204,192,192,182,182,174,172,172,170,170,170,170,170,170,170,170,170","11,21,31,41,51,61,70,81,91,101,111,121,131,140,151,161,171,180,191,201,210,220,231,241,251,261,272,281,291,301,311,321,331,341,351,361,371,381,391,401,411,421,431,441,451,461,471,480,491,501","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<table>             <tr><th></th> <td></td> <td></td><td><br></td></tr>             <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> </td>               <th>Your choice</th><td>=</td>               <td style = ""background-color: #ffaa00""><b>350<b></td></tr>             <tr><th></th> <td></td> <td></td><td><br></td></tr>             <tr><td>  <img width=""130"" src=""svgavatars/ready-avatars/partner2.png""></img> </td>               <th>Your partners choice</th><td>=</td>               <td style = ""background-color: #0064ff;""><b>450<b></td></tr>             <tr><th></th> <td></td> <td></td><td></td></tr>             <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;"">               <th style=""color:red"">REWARDS</th><td></td><td></td><td><br></td></tr>             <tr><th></th> <td></td> <td></td><td><br></td></tr>             <tr>               <th style = ""font-size: 30px;"">You</th>               <td style = ""font-size: 30px;""><b>350<b></td><td></td><td><br></td></tr>             <tr><th></th> <td></td> <td></td><td><br></td></tr>             <tr>               <th style = ""font-size: 30px;"">Your partner</th>               <td style = ""font-size: 30px;""><b>0<b></td><td></td><td><br></td></tr>             <tr><th></th> <td></td> <td></td><td><br></td></tr>           </table>","","html-keyboard-response","41","85357","0.0-5.0-1.0","9ymqjo","1536","734","","","","","","null","","4_feedback_choice","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div><img src='svgavatars/ready-avatars/partner2.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","42","87360","0.0-5.0-0.1-0.1","9ymqjo","1536","734","","","","","","null","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"354","","1","html-button-response","43","88467","0.0-5.0-0.1-1.1","9ymqjo","1536","734","","","","","","","","1_start_click","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","44","88532","0.0-5.0-0.1-3.1","9ymqjo","1536","734","","","","","","","","2_start_leave","10","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1199","","0","html-button-response","45","89731","0.0-5.0-0.1-5.1","9ymqjo","1536","734","","","","","","","","3_choice","10","","","-2","450","350","#00ff7f","#ffaa00","450","true","450","#00ff7f","450","#00ff7f","257","141","783,786,786,787,779,779,776,776,774,776,776,777,777,777,777,777,779,779,782,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,787,809,809,853,853,876,892,892,947,947,996,1046,1046,1093,1093,1144,1175,1175,1200,1200,1214,1228,1228,1232,1232,1232,1232,1232,1232,1232,1217,1177,1177,991,991,840,669,669,523,523,427,388,388,376,376,372,371,371,367,367,356,344,344,328,312,312,293,293,271,271,263,259,259,257,257,257,257,257,257,257,257,257,257,257,257,257","618,604,604,580,534,534,460,460,388,322,322,300,285,285,276,276,272,272,271,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,269,260,260,248,248,244,239,239,228,228,215,202,202,196,196,188,185,185,182,182,179,176,176,175,175,175,175,175,175,175,176,179,179,177,177,164,147,147,132,132,122,118,118,115,115,114,114,114,116,116,120,120,120,124,128,128,131,131,135,135,139,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141","11,22,31,42,51,62,72,81,91,100,111,121,133,140,151,161,172,181,191,201,210,221,230,241,250,261,270,281,291,301,311,322,331,341,351,362,371,381,391,401,412,421,431,441,451,461,470,480,492,500,511,521,531,540,552,561,571,580,590,600,612,621,632,640,651,660,672,680,690,701,710,720,731,742,752,762,771,781,790,801,811,822,830,840,851,862,871,881,891,902,912,921,931,941,952,962,971,983,992,1001,1011,1021,1031,1042,1051,1061,1071,1081,1091,1102,1112,1122,1131,1140,1151,1161,1171,1182,1191","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<table>             <tr><th></th> <td></td> <td></td><td><br></td></tr>             <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> </td>               <th>Your choice</th><td>=</td>               <td style = ""background-color: #00ff7f""><b>450<b></td></tr>             <tr><th></th> <td></td> <td></td><td><br></td></tr>             <tr><td>  <img width=""130"" src=""svgavatars/ready-avatars/partner2.png""></img> </td>               <th>Your partners choice</th><td>=</td>               <td style = ""background-color: #00ff7f;""><b>450<b></td></tr>             <tr><th></th> <td></td> <td></td><td></td></tr>             <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;"">               <th style=""color:red"">REWARDS</th><td></td><td></td><td><br></td></tr>             <tr><th></th> <td></td> <td></td><td><br></td></tr>             <tr>               <th style = ""font-size: 30px;"">You</th>               <td style = ""font-size: 30px;""><b>450<b></td><td></td><td><br></td></tr>             <tr><th></th> <td></td> <td></td><td><br></td></tr>             <tr>               <th style = ""font-size: 30px;"">Your partner</th>               <td style = ""font-size: 30px;""><b>450<b></td><td></td><td><br></td></tr>             <tr><th></th> <td></td> <td></td><td><br></td></tr>           </table>","","html-keyboard-response","46","93234","0.0-5.0-1.1","9ymqjo","1536","734","","","","","","null","","4_feedback_choice","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1213","<p>Well done. You have reached the end of Task 1.<br><br>If you would like to take a short break, please do so now.<br><br></p>Please click the button below to proceed to the second and final task.<br><br></p>","0","html-button-response","47","94951","0.0-6.0","9ymqjo","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5998","","","instructions","48","101949","0.0-7.0-0.0","9ymqjo","1536","734","","","","","[{""page_index"":0,""viewing_time"":900},{""page_index"":1,""viewing_time"":795},{""page_index"":2,""viewing_time"":476},{""page_index"":3,""viewing_time"":870},{""page_index"":4,""viewing_time"":706},{""page_index"":5,""viewing_time"":597},{""page_index"":6,""viewing_time"":904},{""page_index"":7,""viewing_time"":750}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","49","104452","0.0-7.0-1.0","9ymqjo","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","50","106454","0.0-7.0-2.0","9ymqjo","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","51","109456","0.0-7.0-3.0","9ymqjo","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","52","111959","0.0-7.0-4.0","9ymqjo","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"932","<div><img src='svgavatars/ready-avatars/partner_auto_2.png'></img><br><br></div><p>The partner you have been matched with is: <b>Player 4</b>.<br><br> Click the button below to read the instructions for the task that follows.<br><br></p>","0","html-button-response","53","113894","0.0-7.0-5.0","9ymqjo","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"941","<p>As described earlier, in this task your partner will first make a choice. You will then have to make a choice between two options. A reminder that your partner will not see which choice you make.<br><br>To complete your task you must:<br>1. Click the <i>start</i> button<br>2. <i>Move the mouse cursor</i> out of the grey box to reveal your two options<br>3. Use the mouse to <i>click</i> on your choice<br><br> Before you begin the task, you and your partner have several rounds for practice. These are to make you familiar with the task and you are not able to earn points in them.<br><br> Click the button below to begin the practice session.</p>","0","html-button-response","54","115840","0.0-7.0-6.0","9ymqjo","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<table>           <tr><th></th><td></td><td></td><th colspan = ""3"">Please wait while your partner chooses between option A or B...<br><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th colspan = ""3""><div class=""float: center;""><img src=""img/waiting.gif""></img></div><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th>A</th><td></td><th>B</th></tr>             <tr><th>Partner payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff; border-bottom: 5px solid black;solid black;""><b>400<b></td>               <td></td><td style = ""font-size: 35px;background-color:#00ff7f; border-bottom: 5px solid black;solid black;""><b>500<b></td></tr>             <tr><th>Your payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff""><b>0<b></td>               <td></td> <td style = ""font-size: 35px;background-color:#00ff7f;""><b>500<b></td></tr>          </table>","","html-keyboard-response","55","121346","0.0-8.0-0.0-0.0","9ymqjo","1536","734","","","","","","null","","trust_partner_choosing","2222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
